County,Count
Greenville,19903
Spartanburg,15025
Orangeburg,4869
Hampton,1241
Chesterfield,2077
Anderson,8965
Florence,33099
York,5736
Edgefield,1047
Kershaw,9264
Berkeley,3840
Dillon,1895
Barnwell,1341
Union,2008
Horry,9913
Aiken,5662
Allendale,484
Fairfield,1437
Colleton,1944
Lexington,8242
Newberry,2065
Lancaster,3084
Charleston,17603
Clarendon,1740
Pickens,5139
Saluda,843
Beaufort,4562
Richland,13471
Laurens,17115
Marion,2056
Sumter,5126
Georgetown,2783
Dorchester,18618
Williamsburg,17188
Jasper,823
Darlington,3442
Marlboro,1467
Cherokee,10989
Abbeville,1331
Lee,1177
Chester,1607
Calhoun,717
Oconee,3159
Greenwood,3698
McCormick,765
Bamberg,914
